DataYear,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,YearBuilt,NumBuildings,NmbFloors,PropertyGFATotal,PropertyGFAParking,GFABuilding_s,All_UseTypes,Largest_UseType,LargestUseType_GFA,Second_UseType,SecondUseType_GFA,Third_UseType,ThirdUseType_GFA,ENERGYSTARScore,SiteEUI_kBtu_sf,SiteEUIWN_kBtu_sf,SourceEUI_kBtu_sf,SourceEUIWN_kBtu_sf,SiteEnergyUse_kBtu,SiteEnergyUseWN_kBtu,SteamUse_kBtu,Electricity_kBtu,NaturalGas_kBtu,TotalGHGEmissions,GHGEmissionsIntensity
2016,NonResidential,Hotel,7,DOWNTOWN,1927,1.0,12,88434,0,88434,Hotel,Hotel,88434.0,Aucun,0.0,Aucun,0.0,60.0,81.71474772146459,84.30000305,182.5,189.0,7226362.0,7456910.0,2003882.0,3946027.0,1276453.0,249.98,2.83
2016,NonResidential,Hotel,7,DOWNTOWN,1996,1.0,11,103566,15064,88502,"Hotel, Parking, Restaurant",Hotel,83880.0,Parking,15064.0,Restaurant,4622.0,61.0,80.99118436552537,97.90000153,176.1000061,179.3999939,8387933.0,8664479.0,0.0,3242851.0,5145082.0,295.86,2.86
2016,NonResidential,Hotel,7,DOWNTOWN,1926,1.0,10,61320,0,61320,Hotel,Hotel,61320.0,Aucun,0.0,Aucun,0.0,56.0,110.80533675799087,113.3000031,216.1999969,224.0,6794583.25,6946800.5,2214446.25,2768924.0,1811213.0,286.43,4.67
2016,NonResidential,Hotel,7,DOWNTOWN,1980,1.0,18,175580,62000,113580,"Hotel, Parking, Swimming Pool",Hotel,123445.0,Parking,68009.0,Aucun,0.0,75.0,80.71878915594031,118.6999969,211.3999939,215.6000061,14172605.0,14656503.0,0.0,5368607.0,8803998.0,505.01,2.88
2016,Nonresidential COS,Other,7,DOWNTOWN,1999,1.0,2,97288,37198,60090,Police Station,Police Station,88830.0,Aucun,0.0,Aucun,0.0,,124.23542471836198,141.6000061,316.2999878,320.5,12086616.0,12581712.0,0.0,7371434.0,4715182.0,301.81,3.1
2016,NonResidential,Hotel,7,DOWNTOWN,1926,1.0,11,83008,0,83008,Hotel,Hotel,83008.0,Aucun,0.0,Aucun,0.0,27.0,69.37638540863531,74.5,146.6000061,154.6999969,5758795.0,6062767.5,0.0,2811215.0,2947580.0,176.14,2.12
2016,NonResidential,Other,7,DOWNTOWN,1926,1.0,8,102761,0,102761,Other - Entertainment/Public Assembly,Entertainment/Public Assembly,102761.0,Aucun,0.0,Aucun,0.0,,61.28911260108407,68.80000305,141.6999969,152.3000031,6298130.5,7067881.5,2276286.5,3636655.0,385189.0,221.51,2.16
2016,NonResidential,Hotel,7,DOWNTOWN,1904,1.0,15,163984,0,163984,Hotel,Hotel,163984.0,Aucun,0.0,Aucun,0.0,43.0,83.6899880476144,86.59999847,180.8999939,187.1999969,13723819.0,14194054.0,0.0,7297919.0,6425900.0,392.16,2.39
2016,NonResidential,Hotel,7,DOWNTOWN,1969,1.0,11,153163,19279,133884,Hotel,Hotel,133884.0,Aucun,0.0,Aucun,0.0,30.0,104.572530572005,124.3000031,228.1999969,233.0,16016642.5,16646930.0,5237165.5,6187627.0,4591850.0,691.26,4.51
2016,NonResidential,Hotel,7,DOWNTOWN,1998,1.0,25,333176,61161,272015,Hotel,Hotel,336640.0,Aucun,0.0,Aucun,0.0,36.0,80.86149512569934,80.40000153,199.0,199.3999939,26941109.5,27070114.0,5999360.5,18083049.0,2858700.0,740.97,2.22
