,PropertyGFATotal,PropertyGFAParking,GFA_par_Building,GFA_par_Floor,GFABuilding_s,PrimaryPropertyType_T_Encoded,NumBuildings,NmbFloors,LargestUseType_GFA_proportion,SecondUseType_GFA_proportion,ThirdUseType_GFA_proportion,Ratio_Parking,Ratio_Building,Nombre_Usage_Type,proportion_Electricity,proportion_Steam,proportion_NaturalGas,Neighborhood_H_DOWNTOWN,Neighborhood_H_NORTHEAST,Neighborhood_H_EAST,Neighborhood_H_LAKE UNION,Neighborhood_H_GREATER DUWAMISH,Neighborhood_H_MAGNOLIA / QUEEN ANNE,Neighborhood_H_BALLARD,Neighborhood_H_NORTHWEST,Neighborhood_H_CENTRAL,Neighborhood_H_SOUTHEAST,Neighborhood_H_DELRIDGE,Neighborhood_H_NORTH,Neighborhood_H_SOUTHWEST,BuildingType_H_NonResidential,BuildingType_H_Nonresidential COS,BuildingType_H_Campus,BuildingType_H_SPS-District K-12,Age_Building_groupe_L,Co_stratification,ENERGYSTARScore
1080,-0.5412608050493694,-0.32512581792811696,-0.528622642812579,-0.22307202794553968,-0.5318135984464868,-0.4969845221187181,1.0,1.0,100.0,0.0,0.0,0.0,100.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,15.0,27.0
44,0.4860842163735784,-0.32512581792811696,0.5131629955292747,0.5208859461099724,0.6803397014863224,0.4928554894001949,1.0,3.0,100.0,0.0,0.0,0.0,100.0,1.0,59.0,0.0,41.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,117.0,48.0
1100,-0.3713145254418186,-0.32512581792811696,-0.3562875560667926,0.3010518681079495,-0.3312958178159151,-0.7946208380053232,1.0,1.0,100.0,0.0,0.0,0.0,100.0,3.0,23.0,77.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,33.0,69.0
1193,-0.5389553322639956,-0.32512581792811696,-0.5262847637288183,-0.4536459124496909,-0.529093395996072,-0.4969845221187181,1.0,2.0,100.0,0.0,0.0,0.0,100.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,14.0,60.0
571,-0.5343443866932481,-0.32512581792811696,-0.6020988425879142,-0.4465357045574924,-0.5236529910952425,0.3890279392304994,2.0,2.0,100.0,0.0,0.0,0.0,100.0,1.0,52.0,0.0,48.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,69.0,91.0
815,-0.4131423888335995,-0.32512581792811696,-0.3987033623007361,-0.4754844081185863,-0.3806480622734395,-0.4969845221187181,1.0,4.0,100.0,0.0,0.0,0.0,100.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,1.0,100.0
726,-0.5275465355089461,-0.15224203379704557,-0.5147156020914655,-0.5636916157412316,-0.5724301070346793,-0.060662129925955106,1.0,4.0,32.1,31.8,8.3,29.08,70.92,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,78.0,41.0
302,-0.26210098606611343,-0.32512581792811696,-0.24553888404178725,0.6378725734012383,-0.20243594173626867,-0.6809150689530434,1.0,1.0,100.0,0.0,0.0,0.0,100.0,2.0,54.0,0.0,46.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,66.0,89.0
270,-0.060464336257325176,0.4723207446436244,-0.04106797937607924,-0.04097621124142759,-0.22651361942593964,-0.6809150689530434,1.0,3.0,64.8,35.099999999999994,0.0,35.1,64.9,2.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,112.0,70.0
310,0.25921910722770025,1.2508891928562256,0.2831090140327,-0.10393338450386169,-0.10510709806042957,2.5408838362441997,1.0,5.0,54.3,46.1,0.0,46.08,53.92,2.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,92.0,62.0
