,SiteEnergyUse_kBtu,TotalGHGEmissions
1080,466673.0,3.25
44,16701054.0,430.84
1100,1063480.125,65.05
1193,439267.0,3.06
571,1587455.0,46.57
815,241478.0,1.68
726,564754.0,3.94
302,3181045.0,90.24
270,5413417.0,37.74
310,5135039.0,35.8
1237,15026350.0,106.86
997,1399063.0,21.46
330,6657347.0,49.74
1179,13270685.0,92.52
195,2586116.0,18.03
1005,3528087.0,66.77
420,1555420.0,34.14
70,6505994.0,142.39
646,222600.0,1.55
10,22325361.5,648.62
824,2450443.0,17.08
795,752104.0,5.24
629,755618.0,6.18
520,2143651.0,86.46
459,1594422.0,51.56
64,4897760.0,34.14
969,1890502.0,27.92
996,2053957.0,85.15
970,2602214.0,41.96
1239,14709149.0,102.54
988,6674180.0,158.63
794,3035962.0,78.22
1240,3736960.0,156.45
1098,3605755.0,25.14
358,1776412.0,41.18
1248,9290212.0,72.02
528,1896299.0,37.78
722,2524228.0,77.8
944,919746.0,6.41
831,2472350.0,17.24
638,1298307.0,29.41
322,6455828.0,91.1
1038,1508562.0,28.05
1253,1498458.0,12.43
649,1010968.0,14.49
982,363808.0,7.74
131,3757005.0,26.19
15,44984464.0,1265.29
1111,826489.0,22.38
427,8873484.0,61.86
906,1965075.0,22.48
960,1195165.0,30.99
1088,4199443.0,69.53
187,56606131.0,530.18
191,6029019.0938,65.2
103,12726788.0,388.37
1024,1232823.0,23.62
60,5155569.0,152.14
442,3775187.625,133.8
361,5608600.0,138.35
364,25567106.0,182.14
1190,375773.0,2.62
655,2478959.75,149.91
445,2886141.0,20.12
743,867185.0,30.22
1194,1683064.0,67.15
82,65336975.0,2055.82
1289,7768057.0,82.58
858,1045838.0,44.26
814,904060.0,6.3
587,6689183.0,202.65
1211,2701872.0,128.07
252,3632614.0,25.32
393,4391348.0,30.61
311,7290824.0,129.29
891,1639136.0,18.87
113,4854430.0,149.93
893,1084554.0,7.56
249,7519466.0,69.59
452,6758564.625,169.06
263,8773056.0,110.46
869,1748630.0,22.26
503,20675918.0,259.49
271,11323163.0,94.47
811,469499.0,11.08
1275,2912264.0,51.59
122,9788716.0,68.24
1250,8305255.0,193.36
923,440419.0,12.92
801,8518313.0,237.54
16,47859811.0,1699.45
793,935580.0,38.86
531,1114384.0,7.77
610,1467060.0,19.82
839,1614026.0,53.21
737,3600571.0,41.22
601,2686765.0,34.15
351,2371575.0,31.58
554,1560461.0,33.78
1153,1567041.0,10.92
979,2912454.0,46.85
446,36378584.0,426.39
97,11171987.0,338.16
1121,588856.0,22.33
883,2842819.0,55.86
1136,1159807.0,8.09
196,6366084.25,202.99
397,2203026.0,55.73
183,3989398.0,70.47
1266,1357120.0,9.46
426,25631512.0,710.7
1164,204995.0,6.73
742,2804534.0,75.25
717,739210.0,20.64
1202,8521989.0,286.33
175,27076921.0,1084.79
535,1042109.0,42.19
81,13071698.5,422.39
267,8663690.0,158.92
77,4253369.0,61.21
1228,10005786.0,119.76
689,1262255.0,8.8
1030,3027867.0,77.23
822,809871.0,30.49
1072,9512827.0,66.32
920,642645.0,4.48
1076,6983735.0,223.36
1139,1063036.0,18.62
88,35891480.0,362.82
840,5833800.0,129.89
657,3767135.375,148.55
399,802312.0,5.59
695,2100982.0,20.76
1287,3185005.0,74.3
1225,1641667.0,68.39
117,25453688.0,1060.13
479,1141190.0,29.16
294,1061458.0,32.02
261,11521701.0,80.32
608,741287.0,5.17
1032,586589.0,25.15
2,6794583.25,286.43
434,9343427.0,119.93
338,5662234.0,39.47
356,4374645.0,30.5
833,1459199.0,33.42
182,5803409.0,40.46
418,1791715.0,48.5
703,10834086.5,462.4
654,1793851.0,46.48
1039,1676426.0,11.69
712,1372213.0,35.77
775,2890378.0,49.62
505,25471306.0,189.85
395,22078063.0,357.86
494,12731387.0,133.5
278,17085344.0,413.35
239,2991674.0,20.86
541,1169395.0,18.1
799,1137967.0,13.29
110,11935718.0,469.57
1062,3064039.0,125.59
1212,3371659.0,28.79
818,1686405.0,34.52
1110,27684478.0,393.29
934,3626431.0,95.93
443,2443141.0,27.82
924,808968.0,18.03
565,1145536.0,36.43
625,971990.0,29.82
632,1326178.0,11.27
367,5049446.0,47.25
652,1011667.0,13.71
1291,16371037.0,213.7
384,15067338.25,357.39
200,3009464.0,20.98
279,1123943.0,25.58
65,6357631.0,44.32
968,1042653.0,7.27
619,752094.0,10.75
887,1055033.0,22.29
272,8651835.0,85.01
1133,9232575.0,226.73
578,1261537.0,38.87
165,20361156.0,141.95
1118,917100.0,38.59
990,4302456.0,175.53
589,8690647.25,355.8
940,1610794.0,59.0
989,2186148.0,41.77
